Pergunta,Opção 1,Opção 2,Opação 3,Opção 4,Resposta Correta
Quantos jogadores cada time de futebol tem em campo no início de uma partida?,9,10,11,12,3
Em qual esporte é usada uma raquete e uma peteca?,Tênis,Badminton,Handebol,Vôlei,2
Quantos anéis formam o símbolo dos Jogos Olímpicos?,4,5,6,7,2
Qual país sediou a primeira Copa do Mundo de futebol em 1930?,Brasil,Itália,Uruguai,França,3
Em qual esporte Michael Jordan ficou mundialmente famoso?,Basquete,Natação,Ciclismo,Boxe,1
Qual é a duração regulamentar de uma partida de futebol sem acréscimos?,60 minutos,75 minutos,90 minutos,120 minutos,3
No vôlei de quadra quantos jogadores de cada equipe ficam em quadra?,5,6,7,8,2
Qual prova do atletismo combina corrida com saltos e lançamentos?,Maratona,Decatlo,Revezamento,Marcha atlética,2
Em qual esporte se marca um touchdown?,Beisebol,Rugby,Futebol americano,Hóquei,3
Qual peça do xadrez se move em formato de L?,Bispo,Torre,Cavalo,Peão,3
