Pergunta,Opção 1,Opção 2,Opação 3,Opção 4,Resposta Correta
Qual é o planeta conhecido como Planeta Vermelho?,Marte,Júpiter,Saturno,Vênus,1
Qual é a unidade básica da vida?,Átomo,Célula,Tecido,Órgão,2
Qual gás as plantas absorvem durante a fotossíntese?,Oxigênio,Hidrogênio,Nitrogênio,Gás carbônico,4
Qual é o maior órgão do corpo humano?,Coração,Pulmão,Fígado,Pele,4
Como é chamada a mudança da água líquida para vapor?,Fusão,Condensação,Evaporação,Solidificação,3
Qual tecnologia é usada para armazenar arquivos em servidores acessíveis pela internet?,Bluetooth,Computação em nuvem,Impressão 3D,Realidade virtual,2
Qual é a estrela mais próxima da Terra?,Sirius,Sol,Betelgeuse,Proxima Centauri,2
Qual instrumento é usado para medir a temperatura?,Barômetro,Termômetro,Anemômetro,Higrômetro,2
Qual linguagem é conhecida por ter sido criada para páginas web?,HTML,MP3,PDF,PNG,1
Qual força mantém os planetas em órbita ao redor do Sol?,Magnetismo,Eletricidade,Gravidade,Pressão,3
